Date Announced	30-Jan-2020	02-Feb-2020	03-Feb-2020	02-Mar-2020	03-Mar-2020	04-Mar-2020	05-Mar-2020	06-Mar-2020	07-Mar-2020	08-Mar-2020	09-Mar-2020	10-Mar-2020	11-Mar-2020	12-Mar-2020	13-Mar-2020	14-Mar-2020	15-Mar-2020	16-Mar-2020	17-Mar-2020	18-Mar-2020	19-Mar-2020	20-Mar-2020	21-Mar-2020	22-Mar-2020	23-Mar-2020	24-Mar-2020	25-Mar-2020	26-Mar-2020	27-Mar-2020	28-Mar-2020	29-Mar-2020	30-Mar-2020	31-Mar-2020	01-Apr-2020	02-Apr-2020	03-Apr-2020	04-Apr-2020	05-Apr-2020	06-Apr-2020	07-Apr-2020	08-Apr-2020	09-Apr-2020	10-Apr-2020	11-Apr-2020	12-Apr-2020	13-Apr-2020	14-Apr-2020	15-Apr-2020	16-Apr-2020	17-Apr-2020	18-Apr-2020	19-Apr-2020	20-Apr-2020	21-Apr-2020	22-Apr-2020	23-Apr-2020	24-Apr-2020	25-Apr-2020
Chandigarh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	6	7	7	7	7	8	8	8	13	15	17	18	18	18	18	18	18	18	18	19	19	21	21	21	21	21	21	23	26	26	26	26	27	27	27	27	27	27
Chhattisgarh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3	6	6	7	7	8	9	9	9	9	10	10	10	10	10	18	18	25	31	31	33	33	36	36	36	36	36	36	36	36	36	36	36	36	36
Gujarat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	14	18	30	36	38	44	47	55	63	70	74	87	88	95	108	128	146	175	186	262	378	468	516	572	650	766	929	1099	1376	1743	1939	1939	1939	2178	2407	2407	2407	2624	2815
Himachal Pradesh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	3	3	3	3	3	3	3	3	3	6	6	13	14	18	27	27	28	28	32	32	32	33	35	35	38	39	39	39	39	39	39	39	39	39	40	40
Madhya Pradesh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	6	6	7	15	20	29	39	39	47	66	98	107	154	179	193	256	290	341	411	451	529	562	614	741	938	1164	1310	1402	1407	1485	1485	1485	1552	1587	1587	1587	1687	1846
Bihar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	4	7	9	11	15	15	21	24	29	31	32	32	32	38	39	58	60	64	64	66	66	72	83	85	86	96	113	113	113	126	141	141	143	170	223
Manipur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Mizoram	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Goa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	5	5	5	5	5	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Andaman and Nicobar Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	9	9	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	12	14	15	16	16	16	17	18	18	18	22	29
Jharkhand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	3	4	4	4	13	14	17	19	24	27	28	29	32	33	41	42	42	46	46	46	46	46	53	59
Assam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	16	23	26	26	26	28	28	29	29	29	30	32	33	33	35	35	35	35	35	35	35	35	35	35	35	36	36
Arunachal Pradesh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tripura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Meghalaya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	9	9	11	11	11	12	12	12	12	12	12	12	12
