RELEASE DATE	Category
13 Jul 2012	Hit
15 Aug 2012	Blockbuster
07 Sep 2012	Super Hit
14 Sep 2012	Super Hit
28 Sep 2012	Super Hit
13 Nov 2012	Hit
13 Nov 2012	Hit
21 Dec 2012	Blockbuster
26 Apr 2013	Blockbuster
31 May 2013	Blockbuster
21 Jun 2013	Hit
12 Jul 2013	Super Hit
08 Aug 2013	Blockbuster
13 Sep 2013	Super Hit
01 Nov 2013	Blockbuster
15 Nov 2013	Hit
20 Dec 2013	All Time Blockbuster
18 Apr 2014	Super Hit
06 Jun 2014	Hit
27 Jun 2014	Super Hit
11 Jul 2014	Hit
25 Jul 2014	Blockbuster
15 Aug 2014	Super Hit
24 Oct 2014	Super Hit
19 Dec 2014	All Time Blockbuster
08 May 2015	Hit
22 May 2015	Blockbuster
19 Jun 2015	Super Hit
10 Jul 2015	Blockbuster
17 Jul 2015	All Time Blockbuster
16 Oct 2015	Super Hit
12 Nov 2015	Hit
18 Dec 2015	Hit
22 Jan 2016	Super Hit
19 Feb 2016	Hit
29 Apr 2016	Hit
03 Jun 2016	Hit
06 Jul 2016	Blockbuster
12 Aug 2016	Super Hit
30 Sep 2016	Hit
28 Oct 2016	Hit
23 Dec 2016	All Time Blockbuster
10 Feb 2017	Hit
10 Mar 2017	Super Hit
28 Apr 2017	All Time Blockbuster
11 Aug 2017	Super Hit
29 Sep 2017	Super Hit
20 Oct 2017	Blockbuster
08 Dec 2017	Super Hit
22 Dec 2017	Blockbuster
25 Jan 2018	Blockbuster
23 Feb 2018	Super Hit
16 Mar 2018	Hit
30 Mar 2018	Blockbuster
11 May 2018	Super Hit
01 Jun 2018	Hit
20 Jul 2018	Hit
15 Aug 2018	Hit
31 Aug 2018	Super Hit
05 Oct 2018	Hit
18 Oct 2018	Blockbuster
29 Nov 2018	Super Hit
28 Dec 2018	Blockbuster
11 Jan 2019	Blockbuster
14 Feb 2019	Hit
22 Feb 2019	Hit
01 Mar 2019	Hit
08 Mar 2019	Hit
21 Mar 2019	Hit
12 Jul 2019	Hit
15 Aug 2019	Super Hit
15 Aug 2019	Hit
30 Aug 2019	Hit
06 Sep 2019	Super Hit
13 Sep 2019	Super Hit
02 Oct 2019	Blockbuster
25 Oct 2019	Super Hit
08 Nov 2019	Super Hit
13 Dec 2019	Hit
27 Dec 2019	Super Hit
